date,cpi
2020-01-31,449.96
2020-02-29,452.65
2020-03-31,456.74
2020-04-30,460.08
2020-05-31,464.05
2020-06-30,470.99
2020-07-31,474.81
2020-08-31,478.58
2020-09-30,485.16
2020-10-31,495.46
2020-11-30,508.50
2020-12-31,522.71
2021-01-31,535.81
2021-02-28,540.17
2021-03-31,549.87
2021-04-30,560.55
2021-05-31,564.01
2021-06-30,572.85
2021-07-31,583.92
2021-08-31,594.96
2021-09-30,609.01
2021-10-31,634.45
2021-11-30,665.22
2021-12-31,686.95
2022-01-31,763.34
2022-02-28,807.30
2022-03-31,843.65
2022-04-30,920.30
2022-05-31,968.86
2022-06-30,1019.55
2022-07-31,1095.41
2022-08-31,1135.07
2022-09-30,1187.69
2022-10-31,1228.99
2022-11-30,1255.64
2022-12-31,1273.06
2023-01-31,1295.76
2023-02-28,1326.89
2023-03-31,1374.11
2023-04-30,1399.28
2023-05-31,1399.55
2023-06-30,1431.75
2023-07-31,1564.62
2023-08-31,1654.99
2023-09-30,1726.97
2023-10-31,1786.00
2023-11-30,1853.26
2023-12-31,1859.38
2024-01-31,1972.80
2024-02-29,2062.09
2024-03-31,2138.88
2024-04-30,2210.61
2024-05-31,2278.49
2024-06-30,2319.69
2024-07-31,2387.12
2024-08-31,2440.88
2024-09-30,2509.79
2024-10-31,2580.27
2024-11-30,2628.66
2024-12-31,2684.55
2025-01-31,2799.02
2025-02-28,2855.20
2025-03-31,2924.28
2025-04-30,2999.40
2025-05-31,3043.14
2025-06-30,3098.89
2025-07-31,3164.55
2025-08-31,3226.82
2025-09-30,3290.21
2025-10-31,3348.73
2025-11-30,3409.02
2025-12-31,3467.55
2026-01-31,3540.18
2026-02-28,3588.71
2026-03-31,3635.94
